P= 0.100000;
58;1
64;1
65;1
67;2
69;1
71;1
79;2
87;1
99;1
100;1
103;2
114;1
115;1
117;2
130;1
136;1
191;1
215;1
220;1
310;1
1;608
2;148
3;68
4;40
5;42
6;12
7;19
8;14
9;8
10;13
11;6
12;6
13;1
14;4
15;7
16;3
18;3
19;2
20;2
21;1
22;3
23;2
24;2
25;2
27;1
28;1
30;1
32;2
33;1
34;2
36;1
38;1
40;2
41;2
43;1
44;1
46;1
48;1
51;1
55;1
56;1
63;2
81;1
83;1
85;1
100;1
102;1
103;1
126;1
136;1
142;1
144;1
207;1
305;1
307;1
309;1
343;1
358;1
426;1
1;676
2;136
3;78
4;50
5;35
6;31
7;13
8;14
9;11
10;4
11;10
12;4
13;6
14;3
15;4
16;4
17;3
18;2
19;1
20;2
21;1
22;2
23;2
25;1
27;3
29;1
30;3
31;2
35;2
37;1
38;1
39;3
42;1
47;3
48;1
49;2
53;2
54;2
67;1
69;1
74;1
76;1
80;1
85;1
88;1
99;1
121;1
134;1
140;1
156;1
164;1
181;1
191;1
198;1
266;1
294;1
540;1
1;596
2;144
3;78
4;48
5;43
6;17
7;21
8;12
9;6
10;7
11;4
12;10
13;3
14;4
15;3
17;2
18;1
19;1
20;3
21;1
22;3
23;3
24;1
25;1
27;1
29;2
30;3
33;1
34;1
35;1
38;3
39;1
41;1
43;1
45;1
46;1
47;1
49;1
51;1
61;1
67;1
69;1
70;1
79;2
83;1
85;1
93;1
98;1
99;1
120;1
125;1
130;1
145;1
149;1
159;1
172;1
178;1
218;1
236;1
340;1
846;1
1;687
2;149
3;86
4;58
5;23
6;20
7;22
8;15
9;17
10;6
11;10
12;8
13;10
14;7
15;5
16;2
17;1
18;5
19;1
20;4
21;3
22;4
24;3
25;1
27;1
28;2
29;1
30;3
32;1
33;1
34;2
35;3
36;1
42;2
43;2
48;1
49;2
50;1
52;1
54;1
56;1
58;1
62;1
65;1
67;1
69;1
70;2
76;1
77;1
87;1
92;1
98;1
120;1
129;1
130;1
149;1
150;1
232;1
300;1
322;1
1;650
2;154
3;87
4;65
5;40
6;27
7;19
8;9
9;12
10;10
11;9
12;4
14;1
15;4
16;5
17;2
19;2
20;4
21;2
22;1
23;1
24;3
25;1
26;1
27;3
29;1
31;1
33;1
38;1
40;1
42;1
43;2
44;1
55;1
59;1
65;1
69;2
77;1
89;1
96;1
97;1
120;1
137;1
142;1
193;1
202;1
233;1
387;1
469;1
867;1
1;615
2;122
3;63
4;38
5;26
6;12
7;15
8;11
9;9
10;12
11;5
12;3
13;2
14;4
15;5
16;1
17;7
18;3
19;2
20;2
21;3
22;2
24;5
25;1
26;2
27;1
28;3
29;1
30;1
32;1
34;1
38;1
39;1
40;1
50;1
51;1
59;1
61;1
63;1
70;1
72;1
73;1
86;1
91;1
96;2
97;1
103;1
107;1
124;1
142;1
148;1
149;1
176;1
217;1
229;1
238;1
244;1
379;1
879;1
1;656
2;149
3;85
4;47
5;28
6;28
7;14
8;10
9;8
10;8
11;6
12;8
13;4
14;5
15;5
16;5
17;5
18;5
19;3
20;1
21;5
22;7
23;2
24;1
25;1
26;1
27;1
28;2
29;1
30;4
32;2
34;2
35;1
37;1
39;1
41;1
42;2
47;1
48;1
56;1
60;1
64;1
70;1
72;1
75;1
80;2
88;1
90;1
91;1
95;2
99;1
102;1
104;1
105;1
114;1
122;1
136;1
140;1
142;1
156;1
157;1
178;1
192;1
202;1
1;665
2;151
3;73
4;44
5;41
6;14
7;19
8;10
9;13
10;6
11;9
12;8
13;6
14;3
15;2
16;5
17;5
18;3
19;3
21;1
22;1
23;1
24;2
25;1
26;2
27;1
28;1
29;2
30;1
35;3
36;1
37;1
38;2
39;2
40;1
41;2
42;2
47;1
51;1
53;1
61;1
67;1
71;2
76;1
80;2
82;1
84;1
90;1
91;2
92;1
105;1
116;1
117;1
138;1
164;1
238;1
248;1
264;1
322;1
354;1
1;722
2;174
3;90
4;44
5;31
6;19
7;18
8;12
9;13
10;8
11;7
12;8
13;2
14;5
15;6
16;2
17;5
18;1
19;3
20;2
21;5
22;1
23;3
24;1
25;2
26;3
28;2
29;2
30;3
31;1
32;1
33;1
34;1
36;1
37;2
39;1
40;1
45;2
46;1
48;1
51;1
53;1
67;1
68;2
69;1
72;1
77;1
79;1
90;1
92;1
94;1
98;2
100;1
115;1
128;1
135;1
175;1
220;1
255;1
406;1
1;618
2;149
3;86
4;50
5;34
6;25
7;10
8;9
9;11
10;11
11;6
12;6
13;3
14;5
15;4
16;2
17;2
18;2
19;4
21;2
22;4
23;1
24;3
25;1
26;2
27;1
30;1
31;3
36;1
37;3
39;3
41;1
43;1
44;1
47;1
54;1
57;2
68;1
69;1
75;1
76;1
79;1
82;2
86;1
96;1
104;1
106;1
108;1
127;1
129;1
135;2
157;2
158;1
210;1
251;1
348;1
370;1
1;697
2;145
3;96
4;49
5;28
6;23
7;13
8;13
9;13
10;11
11;4
12;6
13;5
14;9
15;5
16;2
17;8
18;3
19;4
20;2
21;3
22;1
23;2
24;2
26;2
27;1
28;1
29;1
30;2
31;1
32;1
33;2
34;1
37;1
39;1
40;1
41;2
43;2
45;1
46;1
50;1
52;1
54;1
57;3
59;1
60;1
64;1
73;1
74;2
76;2
87;3
99;1
109;1
110;1
114;1
119;1
146;1
158;1
273;1
336;1
392;1
1;687
2;172
3;99
4;56
5;37
6;23
7;25
8;16
9;7
10;9
11;5
12;7
13;10
15;2
16;7
18;3
19;4
20;1
21;3
22;2
23;4
26;2
27;2
28;3
29;1
30;2
31;1
33;1
35;2
36;4
38;2
41;3
44;1
45;1
46;1
47;1
51;1
57;1
67;1
75;1
93;2
103;1
121;1
155;1
161;1
163;1
178;1
191;1
193;1
343;1
345;1
1;673
2;144
3;83
4;52
5;39
6;22
7;21
8;12
9;3
10;12
11;12
12;8
13;3
14;5
15;3
16;5
17;2
18;1
19;4
21;3
23;2
24;1
25;1
34;2
36;1
37;1
39;1
40;1
42;3
44;1
45;2
47;2
50;1
52;1
53;1
54;1
55;1
56;1
59;2
61;1
62;1
63;1
66;1
74;1
76;1
85;1
86;1
87;1
88;1
94;1
100;1
107;1
138;1
139;1
174;1
175;1
186;1
195;1
318;1
359;1
1;660
2;146
3;93
4;53
5;25
6;21
7;24
8;10
9;11
10;13
11;9
12;8
13;3
15;3
16;2
17;6
18;5
19;4
20;1
21;1
22;2
23;2
24;2
25;5
26;1
27;1
30;4
31;3
32;1
33;2
35;2
38;2
40;1
41;1
42;1
46;1
50;1
51;2
52;1
62;1
70;1
74;1
76;1
83;1
84;1
85;1
88;1
90;1
111;1
152;1
159;1
168;1
260;1
341;1
370;1
439;1
1;669
2;151
3;85
4;55
5;25
6;22
7;13
8;9
9;11
10;10
11;2
12;6
13;5
14;4
15;2
16;2
17;3
18;3
19;1
20;3
22;2
23;2
24;1
25;1
28;2
31;1
32;2
34;2
36;2
42;1
43;1
44;2
46;1
49;2
51;1
56;1
59;1
62;1
63;1
68;1
72;1
73;1
75;1
79;1
81;1
83;1
106;1
119;1
189;1
229;1
305;1
347;1
386;1
1075;1
1;698
2;173
3;96
4;39
5;41
6;20
7;8
8;18
9;6
10;9
11;9
12;6
13;8
14;7
15;4
16;3
17;8
18;4
19;4
20;2
21;2
22;3
24;3
27;2
28;1
29;2
30;2
31;3
32;1
34;3
36;1
37;4
41;5
43;1
45;1
47;2
51;2
53;1
54;1
59;1
61;1
71;1
74;1
75;2
89;1
101;1
107;1
110;1
121;1
139;1
148;1
151;1
153;1
170;1
578;1
1;697
2;159
3;74
4;35
5;30
6;28
7;16
8;17
9;8
10;10
11;5
12;7
13;5
14;8
15;2
16;2
17;2
18;3
19;6
20;1
21;1
23;4
24;3
25;1
26;3
27;1
29;3
30;1
31;1
32;1
33;2
36;1
37;1
38;1
41;2
45;1
46;1
47;1
56;1
60;1
62;1
68;1
70;1
75;1
86;1
89;1
91;1
92;1
95;1
98;3
99;1
102;1
105;1
109;1
113;1
117;1
122;1
130;1
166;1
167;1
169;1
264;1
342;1
1;665
2;159
3;78
4;49
5;34
6;28
7;22
8;16
9;12
10;9
11;9
12;8
13;6
14;7
15;5
16;6
17;2
18;3
19;3
20;1
21;2
22;1
23;4
24;1
25;1
28;3
29;3
30;1
31;2
32;1
33;2
34;3
35;1
36;1
39;1
41;4
43;1
52;3
54;1
57;1
59;1
61;2
62;1
65;1
72;1
74;1
77;1
80;1
82;1
87;1
88;1
96;1
97;1
98;1
105;1
107;1
179;1
191;1
198;1
206;1
380;1
1;635
2;147
3;79
4;44
5;30
6;22
7;17
8;10
9;6
10;4
11;7
12;8
13;7
14;4
15;7
16;1
17;2
18;2
19;2
20;4
21;2
22;1
23;2
24;3
25;2
26;2
27;1
28;1
31;2
33;1
34;4
36;1
40;1
46;2
47;2
70;1
73;2
75;1
76;3
79;1
86;1
93;1
100;1
105;1
112;1
122;1
123;1
128;1
151;1
164;1
182;1
289;1
351;1
430;1
524;1
1;684
2;167
3;95
4;64
5;31
6;26
7;17
8;15
9;7
10;8
11;9
12;6
13;3
14;6
15;3
16;4
17;2
18;3
19;4
20;3
21;3
23;4
24;2
27;2
28;3
29;2
30;1
31;1
32;2
33;2
35;1
37;1
39;2
42;3
43;2
48;1
53;1
54;1
55;1
56;2
59;1
63;1
68;1
69;1
70;1
75;1
76;1
87;1
104;1
108;1
109;1
120;1
128;1
141;1
153;1
220;1
326;1
436;1
1;728
2;160
3;89
4;47
5;37
6;26
7;15
8;13
9;9
10;12
11;10
12;3
13;6
14;4
15;3
16;4
17;5
18;5
20;2
21;2
22;2
23;1
24;3
25;1
26;1
27;1
28;1
30;1
31;2
37;2
39;1
41;1
42;1
43;1
44;2
45;1
51;1
54;2
55;1
56;1
58;1
63;1
76;1
79;1
91;1
98;1
99;1
110;1
135;1
140;1
147;1
148;1
157;1
173;1
206;1
244;1
312;1
432;1
1;618
2;150
3;90
4;38
5;29
6;24
7;19
8;12
9;12
10;8
11;4
12;5
13;8
14;4
15;5
16;4
17;1
18;1
19;8
21;3
22;3
23;3
24;5
25;4
26;1
27;3
28;3
29;1
32;2
33;1
35;1
38;1
40;1
45;1
48;1
49;1
50;1
53;1
59;2
64;1
69;1
72;1
74;1
81;2
84;1
94;1
98;1
102;1
141;1
153;1
163;1
177;1
210;1
215;1
295;1
308;1
455;1
1;653
2;136
3;83
4;50
5;30
6;20
7;15
8;16
9;6
10;7
11;5
12;11
13;2
14;4
15;2
16;4
17;3
18;4
19;1
21;3
22;1
23;3
24;2
26;3
27;3
28;2
30;2
31;1
33;1
35;1
36;1
37;2
39;1
42;1
46;1
47;1
49;1
50;1
52;1
53;1
55;1
62;1
63;2
66;1
72;1
74;2
78;1
133;1
152;1
181;1
208;1
220;1
254;1
315;1
402;1
463;1
465;1
1;606
2;102
3;74
4;35
5;36
6;23
7;15
8;11
9;14
10;3
11;6
12;4
13;4
14;2
15;4
16;8
17;3
18;1
19;1
20;2
21;5
22;2
23;3
25;3
26;1
27;1
29;1
30;1
31;1
32;1
35;1
36;1
39;1
46;1
49;1
50;1
51;2
53;1
56;2
58;1
59;1
64;1
67;1
71;1
75;1
77;1
78;2
83;1
98;1
101;1
103;1
112;1
150;1
152;1
162;1
211;1
218;1
327;1
357;1
367;1
371;1
466;1
1;689
2;178
3;83
4;50
5;30
6;34
7;19
8;14
9;11
10;9
11;11
12;8
13;4
14;3
15;4
16;6
17;3
18;1
19;4
20;4
21;3
22;1
23;2
24;2
25;2
27;1
28;1
33;2
34;2
36;1
39;2
42;1
44;1
45;1
47;1
57;1
60;1
76;1
86;1
95;1
102;1
111;2
114;1
123;1
133;1
136;1
140;1
171;1
176;1
188;1
268;1
328;1
444;1
1;618
2;147
3;77
4;51
5;36
6;24
7;18
8;12
9;8
10;6
11;8
12;5
13;2
14;7
15;3
16;4
17;8
19;3
20;1
22;2
24;1
25;2
26;2
27;4
28;3
29;1
31;4
33;1
34;1
36;2
38;2
39;2
40;1
44;2
47;1
51;1
52;1
57;1
58;1
60;1
63;1
66;2
68;1
75;1
77;1
86;2
92;1
108;1
129;1
136;1
140;1
150;1
151;1
176;1
203;1
282;1
325;1
397;1
1;715
2;170
3;73
4;52
5;27
6;16
7;13
8;15
9;8
10;10
11;7
12;1
13;7
14;6
15;4
16;1
17;1
18;1
19;1
20;3
21;2
22;2
23;2
24;2
25;1
27;5
28;1
29;2
30;2
31;2
32;1
34;1
37;2
38;1
41;1
42;1
43;1
44;1
45;1
48;2
49;1
52;1
56;1
58;1
59;1
61;2
63;1
69;1
71;1
72;2
93;1
97;2
127;1
136;1
146;1
165;1
238;1
359;1
360;1
432;1
1;676
2;137
3;70
4;54
5;47
6;18
7;14
8;16
9;7
10;11
11;11
12;6
13;3
14;7
15;3
16;2
17;2
18;3
19;2
21;1
22;4
23;2
25;2
28;1
30;2
31;2
32;1
34;2
35;1
37;1
39;1
42;1
47;1
49;2
52;3
53;1
54;1
72;1
75;2
78;1
79;1
95;1
111;1
113;1
114;1
124;1
127;1
143;1
164;1
190;1
226;1
231;1
298;1
384;1
397;1
1;664
2;148
3;75
4;48
5;29
6;20
7;17
8;13
9;10
10;6
11;7
12;3
13;2
14;8
15;3
16;3
17;3
18;4
19;5
21;2
22;1
23;2
25;3
26;2
28;1
30;1
31;2
33;1
37;3
38;1
40;1
44;1
46;2
47;1
50;1
52;1
54;1
60;2
61;1
63;1
65;1
67;1
69;2
70;1
71;1
72;1
74;1
87;1
90;1
93;1
96;1
105;1
116;1
126;1
153;1
163;1
217;1
294;1
423;1
451;1
1;621
2;144
3;70
4;40
5;42
6;24
7;17
8;15
9;16
10;7
11;8
12;7
13;3
15;7
16;5
17;7
18;5
20;1
21;4
22;3
23;1
24;4
25;1
26;1
27;1
28;1
29;1
30;3
31;4
32;1
35;1
36;2
37;1
40;2
47;1
49;1
51;1
54;1
56;1
58;1
63;2
64;1
69;1
75;1
77;1
90;1
103;1
104;1
110;1
128;1
132;1
137;1
167;1
175;1
176;1
181;1
187;1
194;1
231;1
349;1
1;650
2;156
3;90
4;45
5;22
6;17
7;15
8;12
9;6
10;7
11;5
12;6
13;2
14;1
15;3
16;2
17;6
18;1
19;1
20;2
21;2
22;3
23;2
25;5
26;1
27;1
29;2
30;4
31;3
36;1
39;1
40;1
42;1
43;1
46;1
48;1
49;1
50;2
55;1
56;1
59;1
68;1
70;1
71;1
83;1
86;1
94;1
96;1
106;1
111;1
116;1
129;1
143;1
197;1
593;1
667;1
818;1
1;608
2;141
3;71
4;47
5;35
6;19
7;16
8;12
9;6
10;9
11;5
12;4
13;4
14;1
15;5
16;1
17;2
18;5
19;3
20;2
21;1
22;2
23;2
24;1
25;2
26;3
27;1
28;2
29;1
30;1
31;2
32;2
34;2
35;1
38;2
39;1
40;1
44;1
46;2
48;1
49;1
50;1
52;2
60;1
63;1
65;1
70;1
71;1
75;1
79;1
83;1
103;2
124;1
146;2
193;1
225;1
231;1
324;1
359;1
425;1
426;1
1;618
2;130
3;80
4;59
5;33
6;21
7;20
8;13
9;15
10;4
11;6
12;5
13;10
14;4
15;7
16;3
18;2
19;1
20;1
21;4
22;4
23;2
24;4
25;2
26;1
28;3
30;1
31;1
32;1
33;1
35;1
36;1
38;3
42;1
44;1
45;1
47;1
49;1
50;1
52;1
58;1
63;1
65;1
68;2
69;3
71;1
76;1
79;1
82;1
160;1
165;1
168;1
188;1
239;1
254;1
302;1
670;1
1;707
2;155
3;88
4;35
5;32
6;18
7;12
8;8
9;13
10;7
11;5
12;6
13;4
14;4
15;3
16;7
17;3
18;2
19;1
20;5
21;1
22;5
23;1
24;1
26;1
27;1
28;2
29;1
30;1
31;1
33;1
37;1
38;3
39;2
40;1
41;2
42;1
43;2
47;1
50;2
51;2
54;2
55;2
58;1
61;1
63;1
64;1
68;2
69;1
75;1
76;1
89;1
99;2
100;1
113;1
114;1
116;1
118;1
121;1
124;1
132;1
139;1
179;1
263;1
299;1
1;690
2;160
3;87
4;52
5;32
6;26
7;14
8;16
9;11
10;8
11;9
12;4
13;7
14;5
15;5
16;3
17;3
18;9
19;3
20;2
21;4
22;4
23;2
24;2
25;2
26;2
27;1
28;2
29;4
30;2
32;5
33;2
35;1
37;1
38;1
41;1
45;1
46;1
47;1
48;1
50;2
53;2
60;1
63;1
65;1
74;2
80;1
89;1
97;1
99;1
105;1
107;1
114;1
133;1
201;1
208;1
238;1
274;1
1;650
2;166
3;92
4;62
5;37
6;35
7;24
8;16
9;5
10;9
11;9
12;4
13;5
14;2
15;5
16;5
17;4
18;5
19;2
20;3
21;1
22;1
23;1
24;1
25;1
26;1
27;2
28;2
29;2
30;2
31;1
32;1
34;2
36;1
37;1
38;3
42;2
45;1
48;1
52;3
53;1
57;1
66;1
75;1
83;1
89;1
94;1
104;1
117;1
142;1
157;1
162;1
171;1
210;1
235;1
240;1
279;1
304;1
1;680
2;145
3;77
4;46
5;37
6;28
7;20
8;19
9;11
10;9
11;4
12;4
13;2
14;10
15;5
16;5
17;4
18;3
21;3
22;2
23;4
24;1
25;1
26;1
27;1
30;1
31;1
32;2
33;1
34;1
38;1
40;2
42;1
43;1
48;1
51;1
55;1
70;1
71;3
73;1
87;1
88;1
89;1
90;1
96;1
97;1
98;1
106;1
107;1
121;1
141;1
142;1
282;1
312;1
366;1
599;1
1;649
2;163
3;85
4;43
5;27
6;18
7;28
8;15
9;14
10;12
11;9
12;5
13;3
14;4
15;4
16;5
17;5
18;5
19;3
20;7
21;1
22;4
23;1
24;2
27;1
29;1
30;4
32;2
34;1
35;1
36;2
37;1
38;1
39;1
43;1
45;1
46;1
47;2
49;2
50;1
53;1
54;1
56;1
57;1
58;1
59;1
60;1
61;1
68;1
70;1
73;1
80;1
90;1
95;1
132;1
140;1
171;1
196;1
210;1
244;1
262;1
276;1
1;683
2;163
3;82
4;56
5;28
6;23
7;18
8;13
9;13
10;7
11;4
12;7
13;6
14;5
15;4
16;8
17;3
18;4
19;2
20;1
21;1
22;2
23;5
24;3
25;3
26;1
29;2
32;1
34;2
35;2
37;1
38;1
39;1
40;2
42;1
45;1
49;1
50;1
52;1
56;1
59;1
61;1
66;2
78;1
82;1
92;1
93;1
97;1
108;1
156;1
161;1
170;1
175;1
203;1
217;1
232;1
291;1
395;1
1;668
2;141
3;83
4;44
5;37
6;20
7;24
8;14
9;14
10;4
11;5
12;11
13;6
14;4
15;4
16;4
17;3
18;5
19;2
20;1
21;1
22;2
23;1
24;2
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;3
37;1
39;2
43;2
44;1
47;1
49;1
54;1
55;1
56;1
57;2
61;1
66;1
67;1
82;1
86;1
91;1
95;1
101;1
115;1
122;1
127;1
128;1
171;1
191;1
192;1
219;1
236;1
247;1
259;1
260;1
1;649
2;133
3;79
4;56
5;34
6;18
7;23
8;16
9;11
10;10
11;1
12;6
13;4
14;6
15;4
16;4
17;3
18;1
19;5
20;2
22;1
23;2
24;2
27;2
28;1
30;2
31;1
32;1
33;2
34;1
40;1
41;2
45;1
46;1
51;2
56;2
58;1
65;1
66;1
69;1
71;1
74;1
79;1
81;1
83;1
86;1
87;2
92;1
95;1
100;1
115;1
123;1
145;1
176;1
185;1
256;1
479;1
551;1
1;711
2;153
3;78
4;53
5;40
6;27
7;14
8;13
9;10
10;8
11;6
12;3
13;7
14;4
15;2
16;7
17;10
18;3
19;2
20;5
21;2
24;2
25;1
26;2
27;1
28;1
29;3
31;2
33;1
34;1
35;3
37;1
38;2
39;1
41;1
43;1
45;1
46;1
48;1
49;1
50;1
57;1
58;2
60;1
69;1
70;2
72;1
73;1
76;1
79;1
83;1
85;2
98;1
107;2
118;1
121;1
123;1
157;1
182;1
208;1
229;1
245;1
1;681
2;149
3;77
4;50
5;22
6;28
7;19
8;13
9;14
10;11
11;6
12;8
13;2
14;3
15;3
16;4
17;3
18;2
19;5
20;3
21;2
22;1
23;2
24;1
25;2
26;4
27;1
28;3
29;3
31;1
32;1
33;1
36;1
37;1
40;2
45;1
47;1
49;1
50;2
53;1
55;1
56;1
72;1
80;2
90;1
92;1
105;1
114;1
115;1
124;1
147;2
148;1
168;1
237;1
344;1
375;1
488;1
1;579
2;151
3;85
4;44
5;34
6;29
7;14
8;12
9;13
10;7
11;7
12;5
13;2
14;5
15;9
16;3
17;4
18;2
19;3
20;3
21;3
22;2
23;1
25;2
26;2
27;2
28;1
29;3
33;2
35;2
37;1
39;1
42;1
45;2
47;2
52;1
53;1
56;1
59;1
63;1
66;1
77;1
84;1
95;1
113;1
147;1
201;1
240;1
266;1
306;1
331;1
346;1
397;1
431;1
1;670
2;167
3;67
4;47
5;36
6;17
7;8
8;15
9;16
10;7
11;8
12;1
13;6
14;3
15;1
16;1
17;3
18;3
19;3
20;3
21;2
22;3
23;3
24;2
25;1
27;2
28;5
29;2
30;2
31;1
38;2
39;1
40;3
44;3
46;1
47;2
50;3
51;1
53;1
64;1
81;2
82;1
97;1
100;1
123;1
128;1
145;1
178;1
183;1
231;1
316;1
327;1
582;1
1;667
2;153
3;88
4;48
5;33
6;22
7;15
8;14
9;14
10;8
11;7
12;3
13;7
14;2
15;6
16;4
17;1
18;4
19;4
20;1
21;2
22;4
23;3
24;3
25;1
27;1
29;1
33;2
35;1
37;1
38;2
39;1
40;2
41;3
43;1
44;1
46;1
49;1
51;1
54;1
55;1
57;1
60;1
61;1
62;1
65;2
68;1
72;1
79;1
80;1
92;1
100;1
108;1
128;1
142;1
143;1
158;1
181;1
200;1
270;1
644;1
1;711
2;156
3;87
4;46
5;23
6;23
7;14
8;17
9;13
10;3
11;8
12;8
13;3
14;2
15;1
16;2
17;4
18;5
19;1
20;2
21;2
23;2
28;1
29;3
30;3
31;3
32;1
33;3
34;2
35;2
37;1
39;1
40;1
41;1
42;1
46;1
50;2
51;1
52;1
54;2
56;1
57;1
64;1
65;2
73;1
76;1
77;1
84;1
86;1
125;1
131;1
141;1
213;1
240;1
285;1
895;1
1;702
2;148
3;82
4;48
5;26
6;19
7;13
8;7
9;9
10;6
11;10
12;3
13;7
14;7
15;5
16;6
17;2
18;3
20;3
21;4
22;3
23;1
24;1
25;3
26;2
27;5
29;2
32;1
33;1
34;2
35;1
36;1
39;2
40;1
41;1
43;1
47;1
50;1
52;2
55;1
58;1
60;2
61;1
67;2
69;1
86;1
89;1
94;1
136;1
138;1
156;1
161;1
165;1
211;1
257;1
267;1
284;1
323;1
1;616
2;132
3;80
4;39
5;34
6;15
7;19
8;11
9;13
10;6
11;4
12;6
13;9
14;9
15;7
16;2
17;3
18;2
20;1
21;4
22;1
23;1
24;1
25;1
26;4
27;2
28;1
29;5
30;2
31;1
32;1
33;2
35;1
36;2
39;1
40;1
43;2
44;1
46;1
48;1
49;1
53;1
54;1
56;1
60;1
61;1
65;1
68;1
69;1
70;1
71;1
73;1
76;1
77;1
78;1
79;1
91;1
100;1
141;1
153;1
157;1
172;1
185;1
193;1
210;1
211;1
225;1
324;1
1;645
2;144
3;87
4;48
5;26
6;21
7;17
8;14
9;8
10;6
11;9
12;4
13;5
14;3
15;1
16;1
17;2
19;2
20;1
21;1
22;3
23;1
26;1
31;1
33;2
34;1
39;1
41;1
44;1
45;2
46;1
47;1
48;1
49;2
54;1
59;1
62;1
64;1
66;1
68;1
69;1
73;1
79;1
82;1
87;1
92;1
93;1
94;1
107;1
120;1
127;1
142;1
143;1
158;1
167;1
182;1
208;1
227;1
275;1
409;1
697;1
